workloads,bambu.cycle,verilator.k/s,assassyn.cycle,assassyn.k/s,av.k/s
kmp,39155,55.85592011412268,8192,1435.9333917616127,81.92
spmv,11166,15.905982905982906,25198,183.3395178952117,50.396
merge,72093,70.61018609206661,49152,235.90733034801517,54.61333333333334
radix,135989,75.00772200772201,49433,869.212779799898,81.03770491803279
stencil,68772,69.3965691220989,70309,1979.6987188511896,92.51184210526316
fft,14136,47.27759197324415,55309,271.3313677683315,59.472043010752685
