benchmarks,minor.cycle,minor.insts,minor.kcycle/s,minor.v.kcycle/s
median,7631,4150,187.76,104.31111111111112
multiply,34304,20897,166.13809523809525,96.91388888888889
qsort,205680,123504,173.41924882629107,98.24015957446808
rsort,182444,171129,125.8059748427673,85.11978723404255
towers,7124,6167,135.6,93.225
vvadd,3020,2413,146.48333333333332,87.89
