workloads,assassyn.cycle,assassyn.k/s,av.k/s
kmp,8192,1401.7796030116358,91.02222222222223
spmv,25198,186.09357113843654,50.396
merge_sort,49152,217.2665750191178,55.85454545454545
radix_sort,49433,874.084945361955,81.03770491803279
conv_sum,70309,1922.849719677287,85.74268292682927
