workloads,all_cycles,hls_kcycle_s
kmp,39155,56.66425470332851
stencil,68772,69.96134282807732
spmv,11166,16.206095791001452
merge,72093,71.16781836130306
radix,135989,74.43295019157088
fft,14136,46.80794701986755
