benchmarks,gem5.ipc,gem5.kcycle/s
median,0.782433,23.86294416243655
multiply,0.79817,83.9004854368932
qsort,0.722967,360.0233009708738
rsort,0.724132,455.9681908548708
towers,0.878434,11.931645569620253
vvadd,0.888357,13.457711442786069
